particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err,avg_time_compute,avg_time_compute_err,avg_time_per_particle_compute,avg_time_per_particle_compute_err,avg_time_compute_cpu,avg_time_compute_cpu_err,avg_time_per_particle_compute_cpu,avg_time_per_particle_compute_cpu_err,avg_time_render,avg_time_render_err,avg_time_per_particle_render,avg_time_per_particle_render_err,avg_time_cpu,avg_time_cpu_err,avg_time_per_particle_cpu,avg_time_per_particle_cpu_err,avg_time_loader,avg_time_loader_err,avg_time_per_particle_loader,avg_time_per_particle_loader_err
1500,8.333167789473682,0.011824870504657463,0.005555445192982455,7.883247003104975e-06,0.0010694318181818183,0.00012281744232444535,7.129545454545456e-07,8.187829488296356e-08,,,,,0.29385871428571425,0.01077076069637227,0.0001959058095238095,7.180507130914847e-06,1.5182269603960394,0.6153280624914192,0.0010121513069306929,0.0004102187083276128,532.67928125,17.49631472131055,0.35511952083333337,0.011664209814207033
3500,8.335336052631579,0.021135474374670216,0.0023815245864661654,6.03870696419149e-06,0.001047689393939394,0.00013885762997640062,2.9933982683982685e-07,3.967360856468589e-08,,,,,0.37587785714285715,0.020128831535003573,0.00010739367346938775,5.751094724286735e-06,1.5522920520833334,0.4531031260488465,0.0004435120148809524,0.00012945803601395613,537.8436562500001,14.959075609829172,0.1536696160714286,0.004274021602808335
7500,8.332836857142858,0.00939473869967817,0.0011110449142857145,1.2526318266237558e-06,0.0010927272727272728,0.00014054628758230524,1.456969696969697e-07,1.8739505010974032e-08,,,,,0.5622253082706765,0.024069027432606954,7.49633744360902e-05,3.209203657680927e-06,1.694655297029703,0.5369814239957891,0.0002259540396039604,7.159752319943854e-05,544.80221875,11.1630309272795,0.07264029583333333,0.0014884041236372667
17000,8.334635488721803,0.017869551462836343,0.0004902726758071649,1.0511500860491967e-06,0.0011052348484848484,0.00013016858881026495,6.50138146167558e-08,7.656975812368527e-09,,,,,1.0961912857142857,0.0526759568650413,6.448184033613445e-05,3.0985856979436057e-06,1.7216070198019802,0.5648458043704061,0.00010127100116482236,3.322622378649448e-05,547.35109375,11.471828328996256,0.03219712316176471,0.0006748134311174268
37000,8.333360887218046,0.01700469364336141,0.00022522596992481206,4.5958631468544354e-07,0.0010098863636363634,0.00015341178729392425,2.7294226044226037e-08,4.146264521457412e-09,,,,,2.4333256917293236,0.3017818177850628,6.576555923592766e-05,8.156265345542238e-06,1.726758766990291,0.5748836699348582,4.6669155864602464e-05,1.5537396484725897e-05,539.853375,12.194715086744546,0.014590631756756758,0.0003295868942363391
85000,8.94660358955224,0.7179398334609236,0.00010525415987708517,8.44635098189322e-06,0.0008459097744360902,6.582620757501165e-05,9.95187969924812e-09,7.744259714707253e-10,,,,,5.205578436090225,0.7844839645535047,6.12420992481203e-05,9.229223112394173e-06,1.62780086,0.5554243355549705,1.9150598352941177e-05,6.534403947705536e-06,541.3797666666666,10.737556586372689,0.0063691737254901945,0.00012632419513379633
190000,11.097051844444444,1.1915125541534786,5.840553602339181e-05,6.27111870607094e-06,0.0006045671641791046,0.00012450148040606346,3.181932443047919e-09,6.552709495055972e-10,,,,,7.1769654328358214,0.9685459320714204,3.7773502278083274e-05,5.097610168796949e-06,2.2035712991452994,0.8696203088351262,1.1597743679712102e-05,4.576948993869085e-06,539.1422083333333,11.076713986930592,0.0028375905701754386,5.829849466805575e-05
420000,20.84711713868613,3.467435537030779,4.963599318734793e-05,8.25579889769233e-06,0.0006613430656934307,0.00023023413782134644,1.5746263468891208e-09,5.481765186222534e-10,,,,,15.152453591240878,2.7679123995125234,3.607727045533542e-05,6.59026761788696e-06,3.0700646129032254,1.0661549237096142,7.309677649769585e-06,2.53846410407051e-06,519.4447692307692,12.091887421254132,0.00123677326007326,2.8790208145843172e-05
950000,42.07834769784173,0.7417036907537512,4.4292997576675503e-05,7.807407271092118e-07,0.0004496884057971014,5.661538183018249e-05,4.733562166285278e-10,5.959513876861314e-11,,,,,33.367892021582726,0.47130421175747805,3.512409686482392e-05,4.96109696586819e-07,3.232496734848485,1.0676870353780747,3.402628141945774e-06,1.1238810898716575e-06,,,,
2200000,95.78802261904762,0.9362296618753017,4.354001028138528e-05,4.255589372160462e-07,0.0004887460317460317,4.918945178381888e-05,2.2215728715728713e-10,2.2358841719917673e-11,,,,,79.44832911111112,0.6317725944244091,3.6112876868686876e-05,2.8716936110200416e-07,3.6187819349593493,0.7585093513059018,1.644900879526977e-06,3.4477697786631903e-07,,,,
5000000,214.71806215200002,1.410106584185852,4.2943612430400005e-05,2.820213168371704e-07,0.00048520800000000005,7.429522687225605e-05,9.704160000000001e-11,1.485904537445121e-11,,,,,181.3275701587301,0.39451378212866905,3.626551403174602e-05,7.890275642573381e-08,1.877063157894737,1.239862265784528,3.754126315789474e-07,2.4797245315690557e-07,,,,
