particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err,avg_time_compute,avg_time_compute_err,avg_time_per_particle_compute,avg_time_per_particle_compute_err,avg_time_compute_cpu,avg_time_compute_cpu_err,avg_time_per_particle_compute_cpu,avg_time_per_particle_compute_cpu_err,avg_time_render,avg_time_render_err,avg_time_per_particle_render,avg_time_per_particle_render_err,avg_time_cpu,avg_time_cpu_err,avg_time_per_particle_cpu,avg_time_per_particle_cpu_err,avg_time_loader,avg_time_loader_err,avg_time_per_particle_loader,avg_time_per_particle_loader_err
1500,10.188468578358208,3.7392451644693447,0.0067923123855721385,0.0024928301096462297,0.0005847902621722845,0.00032522485597871086,3.89860174781523e-07,2.168165706524739e-07,2.62564552238806,0.9411589658354684,0.0017504303482587067,0.0006274393105569789,0.2940535917602996,0.01646594867915303,0.00019603572784019973,1.0977299119435354e-05,3.9234268309859153,1.1800542468480395,0.0026156178873239437,0.0007867028312320264,509.64420338983047,12.797744152090297,0.339762802259887,0.008531829434726865
3500,10.215843455223881,3.8086942583469368,0.002918812415778252,0.0010881983595276963,0.0005729400749063669,0.0002603898765212483,1.6369716425896198e-07,7.439710757749951e-08,3.93784328358209,1.2908419406489982,0.0011250980810234542,0.0003688119830425709,0.3895240074906367,0.0321030124129335,0.00011129257356875334,9.172289260838143e-06,4.818396333333333,1.580603105138015,0.0013766846666666667,0.00045160088718229,506.36016949152537,10.133701883792401,0.14467433414043582,0.0028953433953692576
7500,10.253813888059701,3.915074346323754,0.0013671751850746268,0.0005220099128431672,0.0005865617977528089,0.000305141016889779,7.820823970037451e-08,4.06854689186372e-08,6.253966417910448,1.5843792544736794,0.0008338621890547264,0.00021125056726315725,0.5972669176029963,0.056246064564061025,7.963558901373284e-05,7.4994752752081365e-06,8.007118165975102,2.2623948757522627,0.0010676157554633469,0.0003016526501003017,513.0298983050848,11.023081690514672,0.06840398644067797,0.0014697442254019563
17000,10.214221266187048,3.8171789362379016,0.0006008365450698263,0.00022453993742575892,0.0005875884476534295,0.0003495402193177416,3.456402633255468e-08,2.056118937163186e-08,9.899892086330935,2.1028819884671104,0.0005823465933135844,0.00012369894049806533,1.1460978628158844,0.10457662278444084,6.741752134211085e-05,6.151566046143578e-06,12.278934375451264,3.621541917338391,0.0007222902573794861,0.0002130318774904936,510.303,11.333686557497817,0.030017823529411763,0.0006666874445586951
37000,10.302373467625898,3.900673082602586,0.0002784425261520513,0.00010542359682709692,0.0005514693140794223,0.00025832478220584175,1.49045760562006e-08,6.981750870428156e-09,15.028758122743684,2.083622112466743,0.0004061826519660455,5.6314111147749814e-05,2.4246374801444044,0.2571661917373473,6.553074270660552e-05,6.9504376145228995e-06,17.311132741007196,3.9642746185672624,0.0004678684524596539,0.00010714255725857466,503.26030000000003,13.960181128600494,0.01360162972972973,0.00037730219266487823
85000,18.21955512720848,4.705702538722961,0.0002143477073789233,5.5361206337917185e-05,0.0005338014184397163,0.00018358804561964792,6.280016687526074e-09,2.159859360231152e-09,32.823975177304966,4.726811840251598,0.00038616441385064666,5.56095510617835e-05,6.147499783687944,1.166749662381191,7.232352686691699e-05,1.3726466616249307e-05,34.58477629681979,4.817186545214362,0.00040687972113905637,5.667278288487485e-05,491.4768484848485,16.664981646556758,0.0057820805704099825,0.0001960586076065501
190000,39.190848894545454,8.318782282173645,0.00020626762576076555,4.3783064643019186e-05,0.0005090510948905109,0.00013672599383186858,2.6792162888974257e-09,7.196104938519399e-10,68.22062408759125,6.577204707734813,0.00035905591625048027,3.461686688281481e-05,18.433879437956207,1.3499682659542036,9.702041809450635e-05,7.105096136601072e-06,71.69740068363637,7.009841352690157,0.00037735474044019147,3.6893901856263985e-05,494.36057142857146,18.35292340945903,0.0026018977443609025,9.65943337339949e-05
420000,83.42723427372263,10.019282247098724,0.00019863627208029197,2.385543392166363e-05,0.0004930000000000001,5.828063767043671e-05,1.1738095238095239e-09,1.387634230248493e-10,154.25180363636363,7.66617822324346,0.00036726619913419914,1.825280529343681e-05,46.358583233576645,1.0051041497022097,0.00011037757912756344,2.393105118338595e-06,159.55191513454548,9.399819955445492,0.0003798855122251083,2.238052370344165e-05,469.2701666666667,12.456510110736835,0.0011173099206349207,2.965835740651627e-05
950000,102.47309178909092,12.646813698817155,0.00010786641240956939,1.331243547243911e-05,0.00021095985401459855,0.00012539552836638655,2.220630042258932e-10,1.31995293017249e-10,362.4960145985401,9.354317638087739,0.00038157475220898957,9.846650145355514e-06,38.76003497445256,8.459725549068072,4.080003681521322e-05,8.904974262176917e-06,371.4523718505338,20.577297672707626,0.0003910024966847724,2.166031333969224e-05,,,,
2200000,284.82549189285714,14.12912364125305,0.00012946613267857143,6.422328927842295e-06,0.0009800992063492063,0.0004725312726689777,4.454996392496392e-10,2.147869421222626e-10,884.7785515873016,15.084212520855136,0.00040217206890331893,6.856460236752334e-06,134.56235392430276,2.210125651182647,6.116470632922853e-05,1.004602568719385e-06,885.7490225490196,39.18631353577109,0.0004026131920677362,1.781196069807777e-05,,,,
5000000,535.7752072930404,34.97072430577659,0.00010715504145860807,6.994144861155318e-06,0.0008865714285714285,0.00041331857555396563,1.773142857142857e-10,8.266371511079312e-11,2008.4051282051284,25.198881998610585,0.0004016810256410257,5.039776399722117e-06,236.5018747977941,1.1466643104650398,4.730037495955882e-05,2.2933286209300796e-07,2008.7084580291973,92.9206620102369,0.0004017416916058395,1.8584132402047378e-05,,,,
