particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err
1500,8.33186507172996,0.013177194730012224,0.005554576714486639,8.784796486674816e-06
3500,8.3355437721519,0.02261651291432391,0.0023815839349005424,6.461860832663974e-06
7500,8.332679012658229,0.006745912708751941,0.0011110238683544305,8.994550278335922e-07
17000,8.335781312236287,0.024436743876861993,0.0004903400771903699,1.4374555221683525e-06
37000,8.333746666666666,0.012733033869498686,0.0002252363963963964,3.4413605052699153e-07
85000,8.349492970464135,0.05130537229355773,9.822932906428394e-05,6.035926152183263e-07
190000,8.340160594936709,0.06946598198721253,4.389558207861426e-05,3.656104315116449e-07
420000,14.350363435897435,1.9998475476854398,3.416753199023199e-05,4.761541780203428e-06
950000,38.2448298076923,0.7441486493344999,4.0257715587044526e-05,7.833143677205261e-07
2200000,91.46428876923078,0.417629222968079,4.157467671328672e-05,1.8983146498549045e-07
5000000,209.82124616521742,1.9447619148611663,4.1964249233043485e-05,3.8895238297223327e-07
