particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err
1500,8.334338008438818,0.01640552904996393,0.005556225338959212,1.093701936664262e-05
3500,8.335039012658227,0.020206268064247364,0.0023814397179023504,5.773219446927818e-06
7500,8.334677877637132,0.01332770322536887,0.001111290383684951,1.7770270967158493e-06
17000,8.33579970464135,0.016629627584287293,0.00049034115909655,9.782133873110173e-07
37000,9.648147622881355,0.8921456937568194,0.00026076074656436097,2.4112045777211336e-05
85000,19.429798623931624,0.4972089515212477,0.00022858586616390146,5.849517076720562e-06
190000,41.92062534188034,0.5515188771569436,0.00022063487022042284,2.902730932404966e-06
420000,91.78312984188034,0.9970305948507415,0.00021853126152828652,2.3738823686922417e-06
950000,206.93481813913044,2.1674431566731363,0.00021782612435697942,2.2815191122875117e-06
2200000,477.47445502890173,5.11285528121332,0.00021703384319495534,2.324025127824236e-06
5000000,1086.915231030837,13.573212888050096,0.00021738304620616742,2.714642577610019e-06
