particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err
1500,8.338933227848102,0.027953212080678892,0.005559288818565401,1.8635474720452595e-05
3500,8.335220641350212,0.016808428701692916,0.002381491611814346,4.802408200483691e-06
7500,8.345984502109705,0.04187997301255926,0.0011127979336146272,5.583996401674568e-06
17000,8.340127611814347,0.025970756523889544,0.0004905957418714322,1.5276915602287966e-06
37000,8.33558476793249,0.017049698514507442,0.0002252860748089862,4.608026625542552e-07
85000,9.567984762711866,1.265606047687901,0.0001125645266201396,1.4889482913975306e-05
190000,18.44263847008547,1.6838793854968375,9.706651826360774e-05,8.862523081562303e-06
420000,37.31114423076923,2.248287406471826,8.883605769230769e-05,5.353065253504348e-06
950000,78.83692321794872,6.645660167035579,8.298623496626181e-05,6.995431754774293e-06
2200000,170.8219029826087,11.986773696788457,7.764631953754941e-05,5.448533498540208e-06
5000000,391.24496897826083,20.136520952919923,7.824899379565216e-05,4.027304190583985e-06
