particle_count,avg_time,avg_time_err,avg_time_per_particle,avg_time_per_particle_err,avg_time_compute,avg_time_compute_err,avg_time_per_particle_compute,avg_time_per_particle_compute_err,avg_time_compute_cpu,avg_time_compute_cpu_err,avg_time_per_particle_compute_cpu,avg_time_per_particle_compute_cpu_err,avg_time_render,avg_time_render_err,avg_time_per_particle_render,avg_time_per_particle_render_err,avg_time_cpu,avg_time_cpu_err,avg_time_per_particle_cpu,avg_time_per_particle_cpu_err,avg_time_loader,avg_time_loader_err,avg_time_per_particle_loader,avg_time_per_particle_loader_err
1500,10.16932187686567,3.695507858090549,0.006779547917910447,0.0024636719053936994,0.001236749063670412,0.00029929316347874666,8.244993757802746e-07,1.9952877565249777e-07,0.3894813432835821,0.3404322477726937,0.0002596542288557214,0.00022695483184846248,0.2995792209737828,0.01729777744052346,0.00019971948064918853,1.153185162701564e-05,1.4727448380952384,0.49049574813535285,0.0009818298920634923,0.00032699716542356855,504.980779661017,8.988522759170642,0.33665385310734464,0.005992348506113762
3500,10.19900794029851,3.772302569542459,0.002914002268656717,0.0010778007341549882,0.0012441647940074907,0.00027294615916282207,3.554756554307116e-07,7.798461690366344e-08,0.4165111940298508,0.3277031952896583,0.00011900319829424309,9.36294843684738e-05,0.40040882397003746,0.033341632490084296,0.00011440252113429642,9.526180711452656e-06,1.6109436523809526,0.36420244326054513,0.00046026961496598647,0.00010405784093158432,505.2080677966101,8.833512564812013,0.14434516222760288,0.0025238607328034323
7500,10.183998167910449,3.7269299018778503,0.00135786642238806,0.0004969239869170467,0.0012744119850187266,0.0003812454687231081,1.6992159800249687e-07,5.0832729163081085e-08,0.40619402985074626,0.3528393566570322,5.41592039800995e-05,4.704524755427096e-05,0.6104470786516855,0.06072900723939264,8.139294382022473e-05,8.097200965252352e-06,1.515748742857143,0.441881218330803,0.0002020998323809524,5.89174957774404e-05,504.0865593220339,8.80847837582226,0.06721154124293785,0.001174463783442968
17000,10.225092358208958,3.8402826377036274,0.0006014760210711151,0.00022589897868844868,0.0013005093632958802,0.0003850516514143238,7.65005507821106e-08,2.265009714201905e-08,0.4147014925373134,0.3463029803176358,2.4394205443371378e-05,2.0370763548096223e-05,1.182572966292135,0.10541195753708572,6.956311566424324e-05,6.200703384534454e-06,1.5631562809523811,0.4202527847477404,9.195036946778712e-05,2.472075204398473e-05,508.821,12.518414081609702,0.02993064705882353,0.0007363772989182177
37000,10.198609589552238,3.7968087610746752,0.0002756380970149253,0.00010261645300201826,0.0012862846441947567,0.0003032928546500927,3.476444984310153e-08,8.197104179732236e-09,0.32808582089552235,0.27817497598029833,8.86718434852763e-06,7.518242594062117e-06,2.5085670262172286,0.24236568346651371,6.779910881668185e-05,6.550423877473343e-06,1.510569595238095,0.40528789478257127,4.082620527670527e-05,1.0953726886015439e-05,506.4394237288135,13.000091723540022,0.013687551992670636,0.0003513538303659465
85000,12.266989505338078,4.200529129689719,0.00014431752359221267,4.9417989761055515e-05,0.0010312035714285714,0.0003531905363783759,1.2131806722689075e-08,4.1551827809220695e-09,0.4697678571428571,0.38227231276891327,5.526680672268908e-06,4.497321326693097e-06,6.055709435714285,0.9519106290944486,7.124364042016806e-05,1.1198948577581748e-05,1.7483154224137933,0.5232234104030308,2.056841673427992e-05,6.1555695341533034e-06,498.97462,17.200174682705992,0.005870289647058824,0.0002023549962671293
190000,23.276850361403508,6.6196435940992036,0.00012250973874422899,3.4840229442627385e-05,0.0009693415492957746,0.00036934400292817557,5.101797627872498e-09,1.9439158048851347e-09,0.40666549295774646,0.21646914705372092,2.1403446997776128e-06,1.1393113002827417e-06,15.076600799295775,3.3149239369218955,7.935053052260934e-05,1.7446968089062607e-05,3.259757196153846,0.8660449411221794,1.7156616821862348e-05,4.558131269064102e-06,486.77157692307696,17.979034814457293,0.0025619556680161948,9.462649902345943e-05
420000,28.99276710181818,12.3376083465159,6.903039786147186e-05,2.9375257967895e-05,0.0008464468864468864,0.0004975297715238524,2.015349729635444e-09,1.1845946941044106e-09,0.5105474452554745,0.37217011985637866,1.2155891553701773e-06,8.861193329913777e-07,19.996322699633698,7.196746568290576,4.7610292141984994e-05,1.7135110876882323e-05,3.122669549019608,1.069445729834231,7.434927497665734e-06,2.5462993567481692e-06,500.8808181818182,11.556670111145818,0.0011925733766233767,2.7515881217013853e-05
950000,43.4669732599278,9.109600776935576,4.575470869466084e-05,9.589053449405869e-06,0.0005157717391304349,0.00039796642773872316,5.429176201372999e-10,4.1891202919865596e-10,0.5703188405797102,0.4323162755539059,6.003356216628528e-07,4.5506976374095356e-07,35.30729202189781,11.827325625816279,3.7165570549366115e-05,1.2449816448227661e-05,3.3362180150943397,0.6847364950062864,3.5118084369414103e-06,7.207752579013541e-07,,,,
2200000,98.07288125270759,17.893697808100328,4.457858238759436e-05,8.133499003681967e-06,0.0005075359712230215,0.0002844006517581484,2.3069816873773707e-10,1.2927302352643108e-10,1.4452661870503596,0.4438905914772335,6.569391759319816e-07,2.0176845067146975e-07,80.26224090974729,8.13852823039567,3.648283677715786e-05,3.6993310138162133e-06,3.5787744044117646,0.5424875845693502,1.6267156383689839e-06,2.46585265713341e-07,,,,
